tipoCarro,carLength_mean
A,1770.0
CA,768.3333333333334
CCH,384.725
D,1183.5494186046512
DE,3902.0681844447013
E,1575.8361581920904
F,2733.0458163242033
F C,0.0
FAC,0.0
FE,1854.0
FR,3261.0731707317073
G,2865.2732779604958
GC,2823.0363186132895
GI,2104.103448275862
K,1616.3076923076924
L,2478.0
LOC,1014.7674603174603
M,5285.062857142857
OI,7700.0
P,3076.6859315589354
PA,2898.630341267565
PAC,2020.5610859728506
PBA,4075.0
PBT,2860.0
PD,5593.0
PI,6354.325123740235
PL,409.40909090909093
PP,3852.752995391705
PP5,4213.563271604939
PU,11456.42857142857
PÍ,7600.0
RR,2903.119808696501
S,2010.0428893905191
SDE,1956.0
T,2923.3587588210876
T1,3374.3368421052633
T4,4263.0
T5,3571.1466666666665
T6,3289.923076923077
T7,2952.222222222222
T8,5397.476190476191
T9,3944.313698630137
TD,5910.0
TD1,2570.5019554753308
TD2,5910.0
TD5,5318.88782051282
TL,2668.8333333333335
TN,859.9733727810651
TV,1681.4406332453825
TVA,2235.542535446205
TVC,2923.353031918675
TVV,1786.0
V,2823.2917509018116
